№,ID,Адрес,Метро,Часы работы,Широта (WGS84),Долгота (WGS84),Широта,Долгота
260,579059,"наб. Нагатинская, 14/1","Коломенская, Технопарк, Нагатинская",пн-вс 9:00 - 22:05,55.6864331,37.6730085,55.6864331,37.6730085
264,3690756,"ул. Тимирязевская, 38/25","Тимирязевская, Петровско-Разумовская",пн-вс 9:00 - 22:05,55.8233864,37.5588702,55.8233864,37.5588702
265,3691587,"ул. Ивана Бабушкина, 11/2","Академическая, Профсоюзная",пн-вс 9:00 - 22:05,55.68632,37.5629398,55.68632,37.5629398
266,1965848,"ул. Бойцовая, 2/30","Преображенская площадь, Бульвар Рокоссовского, Черкизовская",пн-вс 9:00 - 22:05,55.8084879,37.7151125,55.8084879,37.7151125
267,2245983,"ш. Варшавское, 45","Нагатинская, Верхние котлы, Нагорная",пн-вс 9:00 - 22:05,55.6806715,37.626498,55.6806715,37.626498
272,1607213,"ул. Мясниковская 1-я, 2","Белокаменная, Бульвар Рокоссовского, Преображенская площадь",пн-вс 9:00 - 22:05,55.8162862,37.7020712,55.8162862,37.7020712
275,292129,"ул. Мастеровая, 17/1","Перово, Шоссе Энтузиастов",пн-вс 9:00 - 22:05,55.7440658,37.7543123,55.7440658,37.7543123
276,2306594,"ул. Халтуринская, 19","Бульвар Рокоссовского, Преображенская площадь",пн-вс 9:00 - 22:05,55.8046049,37.7251436,55.8046049,37.7251436
278,760926,"ул. Ремизова, 3/2","Нагорная, Крымская, Академическая",пн-вс 9:00 - 22:05,55.6780785,37.5973875,55.6780785,37.5973875
280,4274290,"ул. Лечебная, 19","Измайлово МЦК, Партизанская, Черкизовская",пн-вс 9:00 - 22:05,55.7906401,37.7419419,55.7906401,37.7419419
281,1390998,"ш. Энтузиастов, 48/1","Шоссе Энтузиастов, Соколиная гора",пн-вс 9:00 - 22:05,55.758539,37.7571741,55.758539,37.7571741
282,6728,"ул. Нагатинская, 16","Нагатинская, Верхние котлы, Коломенская",пн-вс 9:00 - 22:05,55.6784209,37.6467047,55.6784209,37.6467047
285,766408,"ул. Большая Черкизовская, 26/6","Черкизовская, Локомотив, Измайлово МЦК",пн-вс 9:00 - 22:05,55.7965955,37.739104,55.7965955,37.739104
287,4238313,"ул. Высокая, 12","Коломенская, Технопарк",пн-вс 9:00 - 22:05,55.6797086,37.6581106,55.6797086,37.6581106
288,3361732,"ул. Судостроительная, 55",Кленовый бульвар,пн-вс 9:00 - 22:05,55.6887652,37.6931256,55.6887652,37.6931256
289,4533358,"ул. Ремизова, 8","Нагорная, Крымская",пн-вс 9:00 - 22:05,55.677134,37.5988013,55.677134,37.5988013
295,8203,"пр-д Орехово-Зуевский, 18/8","Нижегородская, Стахановская",пн-вс 9:00 - 22:05,55.8153013,38.956777,55.8153013,38.956777
296,3347789,"ул. Космонавта Волкова, 27",Войковская,пн-вс 9:00 - 22:05,55.8166745,37.5244555,55.8166745,37.5244555
298,2174140,"ул. Мастеровая, 2/6","Шоссе Энтузиастов, Перово, Андроновка",пн-вс 9:00 - 22:05,55.7459571,37.760552,55.7459571,37.760552
299,3085859,"ул. Бойцовая, 16",Бульвар Рокоссовского,пн-вс 9:00 - 22:05,55.8128686,37.7204938,55.8128686,37.7204938
300,951771,"ул. Большая Черемушкинская, 42/1","Профсоюзная, Академическая, Новые Черёмушки",пн-вс 9:00 - 22:05,55.6901148,37.598067,55.6901148,37.598067
302,171455,"ул. Большая Академическая, 4","Сокол, Войковская, Стрешнево",пн-вс 9:00 - 22:05,55.8437344,37.55092,55.8437344,37.55092
305,2227220,"ул. Маршала Рыбалко, 7","Октябрьское поле, Панфиловская, Зорге МЦК",пн-вс 9:00 - 22:05,55.7968794,37.4918744,55.7968794,37.4918744
306,8196,"ул. Столетова, 7","Ломоносовский проспект, Раменки, Мичуринский проспект",пн-вс 9:00 - 22:05,55.7040207,37.5029216,55.7040207,37.5029216
307,2182496,"ш. Волоколамское, 3","Сокол, Панфиловская, Стрешнево",пн-вс 9:00 - 22:05,55.8616332,37.1501532,55.8616332,37.1501532
312,3396687,"ул. Плеханова, 18",Перово,пн-вс 9:00 - 22:05,55.7440665,37.7639795,55.7440665,37.7639795
314,2022247,"ул. Кусковская, 1","Перово, Стахановская, Андроновка",пн-вс 9:00 - 22:05,55.7377179,37.7749634,55.7377179,37.7749634
315,3421543,"ул. Корабельная, 5А",Коломенская,пн-вс 9:00 - 22:05,55.6855411,37.6997218,55.6855411,37.6997218
317,3544720,"ул. Плеханова, 22",Перово,пн-вс 9:00 - 22:05,55.7418291,37.7671272,55.7418291,37.7671272
319,1327840,"ул. Коновалова, 5","Стахановская, Окская, Нижегородская",пн-вс 9:00 - 22:05,55.729954,37.7609502,55.729954,37.7609502
321,2197890,"ул. Корабельная, 15","Коломенская, Технопарк",пн-вс 9:00 - 22:05,55.6826484,37.6944182,55.6826484,37.6944182
324,547160,"ул. Мосфильмовская, 53","Раменки, Ломоносовский проспект, Мичуринский проспект",пн-вс 9:00 - 22:05,55.7044231,37.4969375,55.7044231,37.4969375
330,168677,"ул. Плеханова, 31","Перово, Стахановская, Шоссе Энтузиастов",пн-вс 9:00 - 22:05,55.7414473,37.7692881,55.7414473,37.7692881
332,3039901,"ул. Ботаническая, 33в","Окружная, Владыкино",пн-вс 9:00 - 22:05,55.8401576,37.5826349,55.8401576,37.5826349
334,2245986,"ул. Плеханова, 32/7","Перово, Стахановская, Шоссе Энтузиастов",пн-вс 9:00 - 22:05,55.7386123,37.7687366,55.7386123,37.7687366
336,1508166,"ул. Коломенская, 12","Коломенская, Технопарк",пн-вс 9:00 - 22:05,55.6814354,37.6957813,55.6814354,37.6957813
339,3596846,"ул. Профсоюзная, 25","Профсоюзная, Новые Черёмушки",пн-вс 9:00 - 22:05,55.6741178,37.5606805,55.6741178,37.5606805
340,2135428,"ул. Крупской, 19/17","Университет, Проспект Вернадского, Раменки",пн-вс 9:00 - 22:05,55.6846508,37.524806,55.6846508,37.524806
342,3716663,"ул. Берзарина, 30А",Октябрьское поле,пн-вс 9:00 - 22:05,55.7890627,37.4734553,55.7890627,37.4734553
352,2189211,"ул. Гарибальди, 15","Новые Черёмушки, Профсоюзная, Калужская",пн-вс 9:00 - 22:05,55.6751768,37.5458645,55.6751768,37.5458645
355,2386833,"ул. Чистова, 9/19","Волжская, Текстильщики, Кузьминки",пн-вс 9:00 - 22:05,55.6968403,37.739996,55.6968403,37.739996
357,4269952,"ул. Шоссейная, 22",Печатники,пн-вс 9:00 - 22:05,55.6869607,37.7224959,55.6869607,37.7224959
